rank,name,site_type,latitude,longitude,score_repd,score_industrial,score_combined,pvout_kwh_kwp,in_protected_area,in_sssi,in_flood_zone,in_grade1_agri,capacity_kwp,annual_gen_kwh,annual_saving_gbp,capex_gbp,payback_yr,npv_gbp,battery_value,fin_score,constraint_score,geo_score,final_score
1,Bishop Middleham Sewage Treatment Works,wastewater_plant,54.6716999,-1.4923436,0.90544975,0.9635846,0.93451715,775.58310762,0,0,0,0,500.0,387792.0,49443.0,500000.0,10.1,101287.0,0.45,0.744,1.0,0.9345171750000001,0.871
2,Northumbrian Water Treatment Compound,wastewater_plant,54.5692782,-1.2718228,0.93046796,0.93954206,0.935005,768.144157176,0,0,0,0,500.0,384072.0,48969.0,500000.0,10.2,95519.0,0.45,0.739,1.0,0.93500501,0.87
3,Cambois STW,wastewater_plant,55.156977,-1.5401265,0.9601148,0.88171506,0.9209149,781.7473490200001,0,0,0,0,500.0,390874.0,49836.0,500000.0,10.0,106065.0,0.45,0.748,1.0,0.92091493,0.868
4,Barkershaugh sewage treatment works,wastewater_plant,54.7835417,-1.5682095,0.9150729,0.9388611,0.926967,771.6379760479999,0,0,0,0,500.0,385819.0,49192.0,500000.0,10.2,98228.0,0.45,0.742,1.0,0.926967,0.868
5,Aldin Grange South STW,wastewater_plant,54.7829553,-1.6154269,0.8449648,0.9974165,0.9211906,768.969993856,0,0,0,0,500.0,384485.0,49022.0,500000.0,10.2,96160.0,0.45,0.74,1.0,0.92119065,0.864
6,Chester-le-Street Treatment Works,wastewater_plant,54.9027085,-1.5976229,0.92691964,0.88241124,0.90466547,771.7302900280001,0,0,0,0,500.0,385865.0,49198.0,500000.0,10.2,98300.0,0.45,0.742,1.0,0.90466544,0.859
7,Hutton Rudby STW,wastewater_plant,54.4559415,-1.2835751,0.8386632,0.93179184,0.88522756,759.0931535440001,0,0,0,0,500.0,379547.0,48392.0,500000.0,10.3,88502.0,0.45,0.733,1.0,0.88522752,0.847
8,,water_works,52.2150959,1.4813192,0.9366871,0.9005161,0.91860163,893.9569444159996,0,0,0,1,300.0,268187.0,32182.0,300000.0,9.3,91374.0,0.5,0.784,0.8,0.9186016,0.841
9,East Howle STW,wastewater_plant,54.6995099,-1.5427362,0.7540282,0.9589229,0.8564756,772.9699524279998,0,0,0,0,500.0,386485.0,49277.0,500000.0,10.1,99261.0,0.45,0.743,1.0,0.8564755500000001,0.84
10,Archdeacon Newton STW,wastewater_plant,54.5490037,-1.6073571,0.9846646,0.7206402,0.85265243,772.7020343199999,0,0,0,0,500.0,386351.0,49260.0,500000.0,10.2,99053.0,0.45,0.742,1.0,0.8526524,0.838
