lat,lon,ghi_pvgis_kwh_m2_day,pvout_kwh_kwp,optimal_tilt_deg
49.9,-8.2,,,
49.9,-7.949999999999999,,,
49.9,-7.699999999999999,,,
49.9,-7.449999999999999,,,
49.9,-7.199999999999999,,,
49.9,-6.949999999999999,,,
49.9,-6.699999999999999,,,
49.9,-6.449999999999999,,,
49.9,-6.199999999999999,,,
49.9,-5.949999999999999,,,
49.9,-5.699999999999999,,,
49.9,-5.449999999999999,,,
49.9,-5.199999999999999,,,
49.9,-4.949999999999999,,,
49.9,-4.699999999999999,,,
49.9,-4.449999999999999,,,
49.9,-4.199999999999999,,,
49.9,-3.9499999999999993,,,
49.9,-3.6999999999999993,,,
49.9,-3.4499999999999993,,,
49.9,-3.1999999999999993,,,
49.9,-2.9499999999999993,,,
49.9,-2.6999999999999993,,,
49.9,-2.4499999999999993,,,
49.9,-2.1999999999999993,,,
49.9,-1.9499999999999993,,,
49.9,-1.6999999999999993,,,
49.9,-1.4499999999999993,,,
49.9,-1.1999999999999993,,,
49.9,-0.9499999999999993,,,
49.9,-0.6999999999999993,,,
49.9,-0.4499999999999993,,,
49.9,-0.1999999999999993,,,
49.9,0.05000000000000071,,,
49.9,0.3000000000000007,,,
49.9,0.5500000000000007,,,
49.9,0.8000000000000007,,,
49.9,1.0500000000000007,3.2083287671232874,930.92,0.0
49.9,1.3000000000000007,3.1701643835616435,919.73,0.0
49.9,1.5500000000000007,3.1058356164383563,899.21,0.0
49.9,1.8000000000000007,3.159315068493151,914.0,0.0
50.15,-8.2,,,
50.15,-7.949999999999999,,,
50.15,-7.699999999999999,,,
50.15,-7.449999999999999,,,
50.15,-7.199999999999999,,,
50.15,-6.949999999999999,,,
50.15,-6.699999999999999,,,
50.15,-6.449999999999999,,,
50.15,-6.199999999999999,,,
50.15,-5.949999999999999,,,
50.15,-5.699999999999999,,,
50.15,-5.449999999999999,3.162958904109589,928.76,0.0
50.15,-5.199999999999999,3.109671232876712,910.47,0.0
50.15,-4.949999999999999,,,
50.15,-4.699999999999999,,,
50.15,-4.449999999999999,,,
50.15,-4.199999999999999,,,
50.15,-3.9499999999999993,,,
50.15,-3.6999999999999993,,,
50.15,-3.4499999999999993,,,
50.15,-3.1999999999999993,,,
50.15,-2.9499999999999993,,,
50.15,-2.6999999999999993,,,
50.15,-2.4499999999999993,,,
50.15,-2.1999999999999993,,,
50.15,-1.9499999999999993,,,
50.15,-1.6999999999999993,,,
50.15,-1.4499999999999993,,,
50.15,-1.1999999999999993,,,
50.15,-0.9499999999999993,,,
50.15,-0.6999999999999993,,,
50.15,-0.4499999999999993,,,
50.15,-0.1999999999999993,,,
50.15,0.05000000000000071,,,
50.15,0.3000000000000007,,,
50.15,0.5500000000000007,,,
50.15,0.8000000000000007,,,
50.15,1.0500000000000007,,,
50.15,1.3000000000000007,,,
50.15,1.5500000000000007,3.2366849315068498,938.49,0.0
50.15,1.8000000000000007,3.1735616438356162,917.49,0.0
50.4,-8.2,,,
50.4,-7.949999999999999,,,
50.4,-7.699999999999999,,,
50.4,-7.449999999999999,,,
50.4,-7.199999999999999,,,
50.4,-6.949999999999999,,,
50.4,-6.699999999999999,,,
50.4,-6.449999999999999,,,
50.4,-6.199999999999999,,,
50.4,-5.949999999999999,,,
50.4,-5.699999999999999,,,
50.4,-5.449999999999999,,,
50.4,-5.199999999999999,,,
50.4,-4.949999999999999,2.9553972602739726,862.1,0.0
50.4,-4.699999999999999,2.996739726027397,873.6,0.0
50.4,-4.449999999999999,3.037945205479452,886.47,0.0
50.4,-4.199999999999999,3.051534246575342,888.12,0.0
50.4,-3.9499999999999993,3.071013698630137,895.45,0.0
50.4,-3.6999999999999993,3.069589041095891,896.3,0.0
50.4,-3.4499999999999993,,,
50.4,-3.1999999999999993,,,
50.4,-2.9499999999999993,,,
50.4,-2.6999999999999993,,,
50.4,-2.4499999999999993,,,
50.4,-2.1999999999999993,,,
50.4,-1.9499999999999993,,,
50.4,-1.6999999999999993,,,
50.4,-1.4499999999999993,,,
50.4,-1.1999999999999993,,,
50.4,-0.9499999999999993,,,
50.4,-0.6999999999999993,,,
50.4,-0.4499999999999993,,,
50.4,-0.1999999999999993,,,
50.4,0.05000000000000071,,,
50.4,0.3000000000000007,,,
50.4,0.5500000000000007,,,
50.4,0.8000000000000007,,,
50.4,1.0500000000000007,,,
50.4,1.3000000000000007,,,
50.4,1.5500000000000007,,,
50.4,1.8000000000000007,3.173260273972603,917.53,0.0
50.65,-8.2,,,
50.65,-7.949999999999999,,,
50.65,-7.699999999999999,,,
50.65,-7.449999999999999,,,
50.65,-7.199999999999999,,,
50.65,-6.949999999999999,,,
50.65,-6.699999999999999,,,
50.65,-6.449999999999999,,,
50.65,-6.199999999999999,,,
50.65,-5.949999999999999,,,
50.65,-5.699999999999999,,,
50.65,-5.449999999999999,,,
50.65,-5.199999999999999,,,
50.65,-4.949999999999999,,,
50.65,-4.699999999999999,2.859890410958904,834.49,0.0
50.65,-4.449999999999999,2.94427397260274,859.42,0.0
50.65,-4.199999999999999,2.823780821917808,819.5,0.0
50.65,-3.9499999999999993,2.8677808219178083,837.54,0.0
50.65,-3.6999999999999993,2.978821917808219,869.59,0.0
50.65,-3.4499999999999993,,,
50.65,-3.1999999999999993,,,
50.65,-2.9499999999999993,,,
50.65,-2.6999999999999993,,,
50.65,-2.4499999999999993,3.2465753424657535,943.64,0.0
50.65,-2.1999999999999993,3.2376712328767123,940.61,0.0
50.65,-1.9499999999999993,,,
50.65,-1.6999999999999993,,,
50.65,-1.4499999999999993,3.2806301369863013,958.04,0.0
50.65,-1.1999999999999993,3.3131780821917807,961.92,0.0
50.65,-0.9499999999999993,,,
50.65,-0.6999999999999993,,,
50.65,-0.4499999999999993,,,
50.65,-0.1999999999999993,,,
50.65,0.05000000000000071,,,
50.65,0.3000000000000007,,,
50.65,0.5500000000000007,,,
50.65,0.8000000000000007,,,
50.65,1.0500000000000007,,,
50.65,1.3000000000000007,,,
50.65,1.5500000000000007,,,
50.65,1.8000000000000007,3.088986301369863,895.1,0.0
50.9,-8.2,,,
50.9,-7.949999999999999,,,
50.9,-7.699999999999999,,,
50.9,-7.449999999999999,,,
50.9,-7.199999999999999,,,
50.9,-6.949999999999999,,,
50.9,-6.699999999999999,,,
50.9,-6.449999999999999,,,
50.9,-6.199999999999999,,,
50.9,-5.949999999999999,,,
50.9,-5.699999999999999,,,
50.9,-5.449999999999999,,,
50.9,-5.199999999999999,,,
50.9,-4.949999999999999,,,
50.9,-4.699999999999999,,,
50.9,-4.449999999999999,2.94013698630137,860.81,0.0
50.9,-4.199999999999999,2.932301369863014,855.92,0.0
50.9,-3.9499999999999993,2.896876712328767,843.27,0.0
50.9,-3.6999999999999993,2.9246027397260272,851.88,0.0
50.9,-3.4499999999999993,2.9476712328767127,857.63,0.0
50.9,-3.1999999999999993,2.935780821917808,853.59,0.0
50.9,-2.9499999999999993,3.0002465753424654,871.79,0.0
50.9,-2.6999999999999993,3.001616438356164,870.9,0.0
50.9,-2.4499999999999993,3.027643835616438,878.67,0.0
50.9,-2.1999999999999993,3.0594520547945208,889.54,0.0
50.9,-1.9499999999999993,3.0550136986301366,886.76,0.0
50.9,-1.6999999999999993,3.0206027397260273,876.96,0.0
50.9,-1.4499999999999993,3.094657534246575,897.09,0.0
50.9,-1.1999999999999993,3.164712328767123,916.27,0.0
50.9,-0.9499999999999993,3.1782739726027396,923.18,0.0
50.9,-0.6999999999999993,3.2001369863013696,931.08,0.0
50.9,-0.4499999999999993,3.0705753424657534,896.94,0.0
50.9,-0.1999999999999993,3.1298630136986305,913.61,0.0
50.9,0.05000000000000071,3.248383561643836,948.44,0.0
50.9,0.3000000000000007,3.2067397260273975,934.37,0.0
50.9,0.5500000000000007,3.199178082191781,927.64,0.0
50.9,0.8000000000000007,,,
50.9,1.0500000000000007,,,
50.9,1.3000000000000007,,,
50.9,1.5500000000000007,,,
50.9,1.8000000000000007,3.199890410958904,934.98,0.0
51.15,-8.2,,,
51.15,-7.949999999999999,,,
51.15,-7.699999999999999,,,
51.15,-7.449999999999999,,,
51.15,-7.199999999999999,,,
51.15,-6.949999999999999,,,
51.15,-6.699999999999999,,,
51.15,-6.449999999999999,,,
51.15,-6.199999999999999,,,
51.15,-5.949999999999999,,,
51.15,-5.699999999999999,,,
51.15,-5.449999999999999,,,
51.15,-5.199999999999999,,,
51.15,-4.949999999999999,,,
51.15,-4.699999999999999,,,
51.15,-4.449999999999999,,,
51.15,-4.199999999999999,3.023178082191781,885.28,0.0
51.15,-3.9499999999999993,2.832054794520548,829.17,0.0
51.15,-3.6999999999999993,2.8163013698630137,828.73,0.0
51.15,-3.4499999999999993,2.959150684931507,866.91,0.0
51.15,-3.1999999999999993,2.946849315068493,860.24,0.0
51.15,-2.9499999999999993,3.0116438356164386,874.17,0.0
51.15,-2.6999999999999993,2.9786301369863013,863.29,0.0
51.15,-2.4499999999999993,2.9372602739726026,852.06,0.0
51.15,-2.1999999999999993,2.9615068493150685,860.44,0.0
51.15,-1.9499999999999993,3.0023287671232874,871.46,0.0
51.15,-1.6999999999999993,2.9976438356164388,868.99,0.0
